asset_id,section_id,section_name,section_class,asset_type,age_years,base_wear_index,historical_failures,maintenance_frequency_per_year,last_service_date,days_since_last_service,previous_maintenance_outcome,vibration_mm_s,rail_wear_mm,ultrasonic_flaw_score,track_geometry_deviation_mm,critical_defects_180d,major_defects_180d,open_defects,maintenance_count_365d,deferred_count,emergency_count,avg_duration_minutes,failure_probability,urgency_score,health_score,track_section
AST-002,SEC-006,Sahibabad - Ghaziabad DOWN,DOWN,track,10.11,19.0,1.0,4,2026-07-20 05:31:00,11,COMPLETED,3.5,0.0,40.0,14.0,1.0,0.0,0.0,4,1,1,195.0,0.9761924869512436,97.61924869512436,79.53490617687677,SEC-006
AST-003,SEC-001,Delhi Main - Delhi Shahdara UP,UP,sleeper,6.45,16.0,0.0,1,2026-01-06 05:04:00,206,COMPLETED,0.75,0.0,0.0,3.0,0.0,0.0,0.0,1,0,0,300.0,0.0119039614986507,1.1903961498650708,86.26542433210345,SEC-001
AST-004,SEC-005,Sahibabad - Ghaziabad UP,UP,track,11.29,16.0,0.0,1,2026-07-31 04:19:00,0,COMPLETED,1.25,0.0,0.0,5.0,0.0,0.0,0.0,1,0,0,300.0,0.0211755111838774,2.117551118387749,94.518444776615,SEC-005
AST-007,SEC-003,Delhi Shahdara - Sahibabad UP,UP,rail,8.26,43.0,0.0,1,2026-06-12 04:37:00,49,COMPLETED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,300.0,0.0108846955363328,1.0884695536332851,82.52488847092515,SEC-003
AST-008,SEC-005,Sahibabad - Ghaziabad UP,UP,turnout,4.48,88.0,1.0,2,2026-07-30 04:55:00,1,COMPLETED,0.75,0.0,40.0,3.0,1.0,0.0,0.0,2,0,1,270.0,0.961609644161308,96.1609644161308,56.94652511954602,SEC-005
AST-010,SEC-006,Sahibabad - Ghaziabad DOWN,DOWN,turnout,8.05,9.0,0.0,1,2025-08-23 04:39:00,342,COMPLETED,0.25,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,300.0,0.0119039614986507,1.1903961498650708,82.9985983516094,SEC-006
AST-012,SEC-002,Delhi Main - Delhi Shahdara DOWN,DOWN,track,8.26,87.0,1.0,3,2026-06-12 12:24:00,49,COMPLETED,0.25,0.0,40.0,-1.0,1.0,0.0,0.0,3,1,2,260.0,0.970143266834752,97.0143266834752,50.023422657228494,SEC-002
AST-013,SEC-002,Delhi Main - Delhi Shahdara DOWN,DOWN,turnout,6.35,31.0,1.0,2,2026-04-16 02:03:00,106,COMPLETED,0.25,0.0,0.0,1.0,0.0,0.0,0.0,2,0,0,180.0,0.4137768560218519,41.37768560218519,78.02478412832254,SEC-002
AST-018,SEC-005,Sahibabad - Ghaziabad UP,UP,rail,7.53,38.0,0.0,1,2026-01-31 05:00:00,181,COMPLETED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,300.0,0.0096264284197309,0.9626428419730932,78.99957951969688,SEC-005
AST-019,SEC-004,Delhi Shahdara - Sahibabad DOWN,DOWN,sleeper,11.21,25.0,0.0,1,2025-12-19 05:10:00,224,COMPLETED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,300.0,0.0096264284197309,0.9626428419730932,81.81825666601844,SEC-004
AST-022,SEC-005,Sahibabad - Ghaziabad UP,UP,rail,12.47,18.0,0.0,1,2025-08-23 04:35:00,342,COMPLETED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,300.0,0.0081584449529113,0.815844495291137,80.05942108449088,SEC-005
AST-023,SEC-002,Delhi Main - Delhi Shahdara DOWN,DOWN,track,12.88,8.0,0.0,2,2026-01-12 05:22:00,200,COMPLETED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,210.0,0.0081584449529113,0.815844495291137,89.35824983490878,SEC-002
AST-027,SEC-001,Delhi Main - Delhi Shahdara UP,UP,turnout,5.77,21.0,0.0,1,2025-09-22 05:30:00,312,COMPLETED,1.25,0.0,0.0,5.0,0.0,0.0,0.0,1,0,0,300.0,0.0119039614986507,1.1903961498650708,80.16917377777762,SEC-001
AST-032,SEC-003,Delhi Shahdara - Sahibabad UP,UP,turnout,6.7,17.0,0.0,2,2026-03-11 05:04:00,142,COMPLETED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,180.0,0.0079369781573196,0.7936978157319686,88.02135816104531,SEC-003
AST-037,SEC-004,Delhi Shahdara - Sahibabad DOWN,DOWN,turnout,11.29,12.0,0.0,2,2025-11-17 01:58:00,256,COMPLETED,0.5,0.0,0.0,2.0,0.0,0.0,0.0,2,0,0,210.0,0.0119039614986507,1.1903961498650708,85.24766505015621,SEC-004
AST-038,SEC-001,Delhi Main - Delhi Shahdara UP,UP,sleeper,4.72,39.0,0.0,1,2026-03-24 04:53:00,129,COMPLETED,0.5,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,300.0,0.0119039614986507,1.1903961498650708,80.52349355723636,SEC-001
AST-039,SEC-005,Sahibabad - Ghaziabad UP,UP,rail,4.79,7.000000000000001,0.0,1,2025-09-17 04:53:00,317,COMPLETED,1.5,0.0,0.0,6.0,0.0,0.0,0.0,1,0,0,300.0,0.0119039614986507,1.1903961498650708,84.46978420854823,SEC-005
AST-044,SEC-003,Delhi Shahdara - Sahibabad UP,UP,sleeper,9.23,10.0,0.0,1,2026-03-27 05:31:00,126,COMPLETED,0.25,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,300.0,0.0119039614986507,1.1903961498650708,91.38133802481256,SEC-003
AST-046,SEC-006,Sahibabad - Ghaziabad DOWN,DOWN,sleeper,5.22,8.0,0.0,1,2026-06-25 05:17:00,36,COMPLETED,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1,0,0,300.0,0.014787204756386,1.478720475638609,95.51800020595638,SEC-006
AST-047,SEC-005,Sahibabad - Ghaziabad UP,UP,rail,8.73,32.0,0.0,2,2025-11-28 05:12:00,245,COMPLETED,0.25,0.0,0.0,1.0,0.0,0.0,0.0,2,0,0,210.0,0.0119039614986507,1.1903961498650708,78.93088156536336,SEC-005
AST-048,SEC-002,Delhi Main - Delhi Shahdara DOWN,DOWN,sleeper,4.84,15.0,0.0,1,2026-06-12 04:51:00,49,COMPLETED,0.75,0.0,0.0,3.0,0.0,0.0,0.0,1,0,0,300.0,0.014787204756386,1.478720475638609,92.35437535819756,SEC-002
AST-054,SEC-002,Delhi Main - Delhi Shahdara DOWN,DOWN,turnout,10.49,1.0,0.0,1,2025-09-19 04:44:00,315,COMPLETED,0.25,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,300.0,0.0119039614986507,1.1903961498650708,86.50356189525962,SEC-002
AST-057,SEC-001,Delhi Main - Delhi Shahdara UP,UP,rail,11.57,78.0,1.0,2,2026-07-02 02:04:00,29,COMPLETED,0.5,0.0,20.0,2.0,0.0,1.0,0.0,2,0,0,210.0,0.8231167470099047,82.31167470099047,66.13027847852332,SEC-001
AST-059,SEC-005,Sahibabad - Ghaziabad UP,UP,track,11.37,81.0,1.0,2,2026-07-10 03:00:00,21,COMPLETED,0.0,0.0,20.0,0.0,0.0,1.0,0.0,2,0,0,210.0,0.8143520810891534,81.43520810891533,63.53051667115714,SEC-005
AST-065,SEC-001,Delhi Main - Delhi Shahdara UP,UP,turnout,8.14,24.0,0.0,1,2026-06-12 04:24:00,49,COMPLETED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,300.0,0.0108846955363328,1.0884695536332851,89.79558485549906,SEC-001
AST-066,SEC-005,Sahibabad - Ghaziabad UP,UP,sleeper,10.86,18.0,0.0,1,2026-03-07 04:58:00,146,COMPLETED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,300.0,0.0096264284197309,0.9626428419730932,87.57259422907734,SEC-005
AST-069,SEC-006,Sahibabad - Ghaziabad DOWN,DOWN,track,7.05,44.0,0.0,1,2026-01-21 04:54:00,191,COMPLETED,0.25,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,300.0,0.0119039614986507,1.1903961498650708,76.78220138302063,SEC-006
AST-070,SEC-006,Sahibabad - Ghaziabad DOWN,DOWN,rail,11.71,20.0,1.0,2,2026-07-24 09:15:00,7,COMPLETED,3.75,0.0,40.0,15.0,1.0,0.0,0.0,2,0,1,270.0,0.9444178812186936,94.44178812186938,80.74457161749922,SEC-006
AST-072,SEC-003,Delhi Shahdara - Sahibabad UP,UP,sleeper,7.74,36.0,0.0,1,2026-04-04 05:28:00,118,COMPLETED,1.0,0.0,0.0,-4.0,0.0,0.0,0.0,1,0,0,300.0,0.0119039614986507,1.1903961498650708,82.32704061008708,SEC-003
AST-077,SEC-003,Delhi Shahdara - Sahibabad UP,UP,track,6.8,36.0,1.0,5,2026-04-09 02:03:00,113,COMPLETED,0.0,0.0,20.0,0.0,0.0,1.0,0.0,5,2,0,156.0,0.7218624769979595,72.18624769979594,73.59148282062205,SEC-003
AST-081,SEC-004,Delhi Shahdara - Sahibabad DOWN,DOWN,turnout,12.24,12.0,0.0,1,2026-05-09 05:11:00,83,COMPLETED,0.5,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,300.0,0.0111590845270025,1.1159084527002596,93.11487898703588,SEC-004
AST-083,SEC-004,Delhi Shahdara - Sahibabad DOWN,DOWN,track,9.16,45.0,0.0,1,2025-09-11 05:02:00,323,COMPLETED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,300.0,0.0096264284197309,0.9626428419730932,71.59187545264766,SEC-004
AST-084,SEC-002,Delhi Main - Delhi Shahdara DOWN,DOWN,rail,6.17,14.000000000000002,0.0,1,2025-10-18 04:39:00,286,COMPLETED,1.5,0.0,0.0,6.0,0.0,0.0,0.0,1,0,0,300.0,0.0119039614986507,1.1903961498650708,82.88270332922924,SEC-002
AST-085,SEC-001,Delhi Main - Delhi Shahdara UP,UP,turnout,7.13,18.0,0.0,1,2026-07-04 04:45:00,27,COMPLETED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,300.0,0.012720495139917,1.2720495139917027,92.21732880347716,SEC-001
AST-086,SEC-006,Sahibabad - Ghaziabad DOWN,DOWN,sleeper,10.01,20.0,0.0,1,2025-10-30 04:35:00,274,COMPLETED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,300.0,0.0096264284197309,0.9626428419730932,81.66886893923244,SEC-006
AST-087,SEC-001,Delhi Main - Delhi Shahdara UP,UP,track,6.93,42.0,1.0,2,2026-07-06 05:22:00,25,COMPLETED,0.25,0.0,40.0,1.0,1.0,0.0,0.0,2,0,1,270.0,0.9264296982324656,92.64296982324656,74.50890183965811,SEC-001
AST-088,SEC-001,Delhi Main - Delhi Shahdara UP,UP,turnout,8.87,36.0,0.0,1,2025-09-18 05:14:00,316,COMPLETED,1.25,0.0,0.0,5.0,0.0,0.0,0.0,1,0,0,300.0,0.0119039614986507,1.1903961498650708,74.51171704633316,SEC-001
AST-089,SEC-004,Delhi Shahdara - Sahibabad DOWN,DOWN,turnout,9.73,21.0,0.0,1,2025-09-20 04:49:00,314,COMPLETED,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1,0,0,300.0,0.0119039614986507,1.1903961498650708,80.02534582147925,SEC-004
