asset_id,vibration_mm_s,rail_wear_mm,ultrasonic_flaw_score,track_geometry_deviation_mm
AST-002,3.5,0.0,40.0,14.0
AST-003,0.75,0.0,0.0,3.0
AST-004,1.25,0.0,0.0,5.0
AST-007,0.0,0.0,0.0,0.0
AST-008,0.75,0.0,40.0,3.0
AST-010,0.25,0.0,0.0,1.0
AST-012,0.25,0.0,40.0,-1.0
AST-013,0.25,0.0,0.0,1.0
AST-018,0.0,0.0,0.0,0.0
AST-019,0.0,0.0,0.0,0.0
AST-022,0.0,0.0,0.0,0.0
AST-023,0.0,0.0,0.0,0.0
AST-027,1.25,0.0,0.0,5.0
AST-032,0.0,0.0,0.0,0.0
AST-037,0.5,0.0,0.0,2.0
AST-038,0.5,0.0,0.0,2.0
AST-039,1.5,0.0,0.0,6.0
AST-044,0.25,0.0,0.0,1.0
AST-046,1.0,0.0,0.0,4.0
AST-047,0.25,0.0,0.0,1.0
AST-048,0.75,0.0,0.0,3.0
AST-054,0.25,0.0,0.0,1.0
AST-057,0.5,0.0,20.0,2.0
AST-059,0.0,0.0,20.0,0.0
AST-065,0.0,0.0,0.0,0.0
AST-066,0.0,0.0,0.0,0.0
AST-069,0.25,0.0,0.0,1.0
AST-070,3.75,0.0,40.0,15.0
AST-072,1.0,0.0,0.0,-4.0
AST-077,0.0,0.0,20.0,0.0
AST-081,0.5,0.0,0.0,2.0
AST-083,0.0,0.0,0.0,0.0
AST-084,1.5,0.0,0.0,6.0
AST-085,0.0,0.0,0.0,0.0
AST-086,0.0,0.0,0.0,0.0
AST-087,0.25,0.0,40.0,1.0
AST-088,1.25,0.0,0.0,5.0
AST-089,1.0,0.0,0.0,4.0
AST-090,0.0,0.0,0.0,0.0
AST-091,0.0,0.0,0.0,0.0
AST-094,1.25,0.0,0.0,5.0
AST-097,1.0,0.0,0.0,4.0
AST-101,0.25,0.0,0.0,-1.0
AST-102,0.0,0.0,0.0,0.0
AST-103,0.5,0.0,40.0,2.0
AST-111,1.0,0.0,0.0,4.0
AST-112,1.25,0.0,0.0,5.0
AST-116,0.0,0.0,0.0,0.0
AST-119,0.5,0.0,0.0,2.0
AST-124,0.0,0.0,0.0,0.0
AST-125,0.5,0.0,0.0,2.0
AST-126,1.25,0.0,0.0,5.0
AST-128,1.0,0.0,0.0,4.0
AST-133,0.75,0.0,0.0,3.0
AST-134,0.25,0.0,0.0,1.0
AST-141,1.25,0.0,20.0,5.0
AST-142,2.5,0.0,0.0,-10.0
AST-143,0.75,0.0,0.0,3.0
AST-144,3.5,0.0,40.0,14.0
AST-146,0.0,0.0,0.0,0.0
AST-148,1.0,0.0,0.0,4.0
AST-151,0.75,0.0,0.0,3.0
AST-152,0.75,0.0,0.0,3.0
AST-153,1.25,0.0,0.0,5.0
AST-154,0.75,0.0,40.0,3.0
AST-155,1.0,0.0,0.0,4.0
AST-160,0.25,0.0,20.0,1.0
AST-162,0.25,0.0,0.0,1.0
AST-166,0.75,0.0,20.0,3.0
AST-167,1.0,0.0,40.0,4.0
AST-175,0.0,0.0,0.0,0.0
AST-178,0.0,0.0,0.0,0.0
AST-180,0.25,0.0,0.0,-1.0
AST-182,0.0,0.0,0.0,0.0
AST-186,0.5,0.0,0.0,2.0
AST-189,0.0,0.0,0.0,0.0
AST-191,1.0,0.0,0.0,4.0
AST-192,1.25,0.0,0.0,5.0
AST-196,0.25,0.0,0.0,1.0
AST-199,0.25,0.0,0.0,1.0
AST-201,0.0,0.0,0.0,0.0
AST-203,0.5,0.0,0.0,2.0
AST-206,0.5,0.0,0.0,-2.0
AST-209,0.25,0.0,0.0,-1.0
AST-211,0.25,0.0,0.0,-1.0
AST-215,0.75,0.0,0.0,3.0
AST-216,0.0,0.0,0.0,0.0
AST-218,0.75,0.0,0.0,3.0
AST-225,1.0,0.0,0.0,4.0
AST-230,0.5,0.0,0.0,2.0
AST-235,1.25,0.0,0.0,5.0
AST-236,0.25,0.0,0.0,1.0
AST-237,0.25,0.0,0.0,-1.0
AST-241,0.25,0.0,0.0,1.0
AST-244,0.5,0.0,0.0,-2.0
AST-246,0.75,0.0,0.0,3.0
AST-250,0.25,0.0,0.0,1.0
AST-258,0.75,0.0,0.0,3.0
AST-261,0.75,0.0,0.0,3.0
AST-262,0.0,0.0,0.0,0.0
AST-263,0.25,0.0,0.0,1.0
AST-268,0.25,0.0,0.0,1.0
AST-270,0.5,0.0,0.0,2.0
AST-277,0.0,0.0,0.0,0.0
AST-282,0.75,0.0,0.0,3.0
AST-284,0.75,0.0,0.0,3.0
AST-286,1.0,0.0,0.0,4.0
AST-289,0.0,0.0,0.0,0.0
AST-292,1.0,0.0,0.0,4.0
AST-295,0.75,0.0,0.0,3.0
AST-298,0.5,0.0,0.0,2.0
AST-301,0.25,0.0,0.0,1.0
AST-307,0.25,0.0,0.0,1.0
AST-308,0.5,0.0,0.0,2.0
AST-309,0.0,0.0,0.0,0.0
AST-310,0.0,0.0,0.0,0.0
AST-314,0.0,0.0,0.0,0.0
AST-317,0.75,0.0,0.0,3.0
AST-318,0.0,0.0,0.0,0.0
AST-323,0.0,0.0,0.0,0.0
AST-330,0.5,0.0,0.0,2.0
AST-331,0.75,0.0,0.0,3.0
AST-334,0.75,0.0,0.0,3.0
AST-335,0.0,0.0,0.0,0.0
AST-337,0.25,0.0,0.0,1.0
AST-339,0.25,0.0,20.0,1.0
AST-343,0.5,0.0,0.0,2.0
AST-346,0.5,0.0,0.0,2.0
AST-347,0.25,0.0,0.0,1.0
AST-349,0.0,0.0,0.0,0.0
AST-351,0.75,0.0,0.0,3.0
AST-353,0.0,0.0,0.0,0.0
AST-354,0.0,0.0,0.0,0.0
AST-355,0.0,0.0,0.0,0.0
AST-360,0.5,0.0,0.0,2.0
AST-367,0.75,0.0,0.0,3.0
AST-368,1.0,0.0,0.0,4.0
AST-369,0.0,0.0,0.0,0.0
AST-371,0.25,0.0,0.0,1.0
AST-372,0.0,0.0,0.0,0.0
AST-376,0.25,0.0,0.0,1.0
AST-379,0.25,0.0,0.0,1.0
AST-382,0.0,0.0,0.0,0.0
AST-384,0.25,0.0,0.0,1.0
AST-388,0.25,0.0,0.0,1.0
AST-389,0.0,0.0,0.0,0.0
AST-391,0.0,0.0,0.0,0.0
AST-394,0.25,0.0,0.0,1.0
AST-396,0.75,0.0,0.0,3.0
AST-397,0.75,0.0,0.0,3.0
AST-399,0.25,0.0,0.0,1.0
AST-402,0.0,0.0,0.0,0.0
AST-405,0.0,0.0,0.0,0.0
AST-406,0.75,0.0,0.0,3.0
AST-408,0.0,0.0,0.0,0.0
AST-411,0.0,0.0,0.0,0.0
AST-413,0.5,0.0,0.0,-2.0
AST-415,0.5,0.0,0.0,2.0
AST-420,0.25,0.0,0.0,1.0
AST-423,0.5,0.0,0.0,-2.0
