track_section,hour,scheduled_train_count
DEL-ALD-042,0,0
DEL-ALD-042,1,0
DEL-ALD-042,2,0
DEL-ALD-042,3,0
DEL-ALD-042,4,0
DEL-ALD-042,5,1
DEL-ALD-042,6,3
DEL-ALD-042,7,4
DEL-ALD-042,8,3
DEL-ALD-042,9,2
DEL-ALD-042,10,2
DEL-ALD-042,11,2
DEL-ALD-042,12,3
DEL-ALD-042,13,2
DEL-ALD-042,14,2
DEL-ALD-042,15,2
DEL-ALD-042,16,3
DEL-ALD-042,17,4
DEL-ALD-042,18,3
DEL-ALD-042,19,2
DEL-ALD-042,20,1
DEL-ALD-042,21,1
DEL-ALD-042,22,0
DEL-ALD-042,23,0
NDLS-GZB-017,0,1
NDLS-GZB-017,1,1
NDLS-GZB-017,2,0
NDLS-GZB-017,3,0
NDLS-GZB-017,4,1
NDLS-GZB-017,5,3
NDLS-GZB-017,6,8
NDLS-GZB-017,7,10
NDLS-GZB-017,8,9
NDLS-GZB-017,9,6
NDLS-GZB-017,10,6
NDLS-GZB-017,11,6
NDLS-GZB-017,12,7
NDLS-GZB-017,13,6
NDLS-GZB-017,14,6
NDLS-GZB-017,15,6
NDLS-GZB-017,16,8
NDLS-GZB-017,17,10
NDLS-GZB-017,18,9
NDLS-GZB-017,19,7
NDLS-GZB-017,20,5
NDLS-GZB-017,21,3
NDLS-GZB-017,22,2
NDLS-GZB-017,23,1
BPL-ET-031,0,0
BPL-ET-031,1,0
BPL-ET-031,2,0
BPL-ET-031,3,0
BPL-ET-031,4,0
BPL-ET-031,5,1
BPL-ET-031,6,3
BPL-ET-031,7,4
BPL-ET-031,8,3
BPL-ET-031,9,2
BPL-ET-031,10,2
BPL-ET-031,11,2
BPL-ET-031,12,3
BPL-ET-031,13,2
BPL-ET-031,14,2
BPL-ET-031,15,2
BPL-ET-031,16,3
BPL-ET-031,17,4
BPL-ET-031,18,3
BPL-ET-031,19,2
BPL-ET-031,20,1
BPL-ET-031,21,1
BPL-ET-031,22,0
BPL-ET-031,23,0
HWH-ASN-024,0,1
HWH-ASN-024,1,1
HWH-ASN-024,2,0
HWH-ASN-024,3,0
HWH-ASN-024,4,1
HWH-ASN-024,5,3
HWH-ASN-024,6,8
HWH-ASN-024,7,10
HWH-ASN-024,8,9
HWH-ASN-024,9,6
HWH-ASN-024,10,6
HWH-ASN-024,11,6
HWH-ASN-024,12,7
HWH-ASN-024,13,6
HWH-ASN-024,14,6
HWH-ASN-024,15,6
HWH-ASN-024,16,8
HWH-ASN-024,17,10
HWH-ASN-024,18,9
HWH-ASN-024,19,7
HWH-ASN-024,20,5
HWH-ASN-024,21,3
HWH-ASN-024,22,2
HWH-ASN-024,23,1
MAS-AJT-018,0,2
MAS-AJT-018,1,1
MAS-AJT-018,2,1
MAS-AJT-018,3,1
MAS-AJT-018,4,2
MAS-AJT-018,5,6
MAS-AJT-018,6,14
MAS-AJT-018,7,18
MAS-AJT-018,8,15
MAS-AJT-018,9,11
MAS-AJT-018,10,10
MAS-AJT-018,11,11
MAS-AJT-018,12,12
MAS-AJT-018,13,11
MAS-AJT-018,14,10
MAS-AJT-018,15,11
MAS-AJT-018,16,13
MAS-AJT-018,17,17
MAS-AJT-018,18,16
MAS-AJT-018,19,12
MAS-AJT-018,20,9
MAS-AJT-018,21,6
MAS-AJT-018,22,4
MAS-AJT-018,23,3
CSMT-TNA-009,0,0
CSMT-TNA-009,1,0
CSMT-TNA-009,2,0
CSMT-TNA-009,3,0
CSMT-TNA-009,4,0
CSMT-TNA-009,5,1
CSMT-TNA-009,6,3
CSMT-TNA-009,7,4
CSMT-TNA-009,8,3
CSMT-TNA-009,9,2
CSMT-TNA-009,10,2
CSMT-TNA-009,11,2
CSMT-TNA-009,12,3
CSMT-TNA-009,13,2
CSMT-TNA-009,14,2
CSMT-TNA-009,15,2
CSMT-TNA-009,16,3
CSMT-TNA-009,17,4
CSMT-TNA-009,18,3
CSMT-TNA-009,19,2
CSMT-TNA-009,20,1
CSMT-TNA-009,21,1
CSMT-TNA-009,22,0
CSMT-TNA-009,23,0
SBC-BAND-014,0,0
SBC-BAND-014,1,0
SBC-BAND-014,2,0
SBC-BAND-014,3,0
SBC-BAND-014,4,0
SBC-BAND-014,5,1
SBC-BAND-014,6,3
SBC-BAND-014,7,4
SBC-BAND-014,8,3
SBC-BAND-014,9,2
SBC-BAND-014,10,2
SBC-BAND-014,11,2
SBC-BAND-014,12,3
SBC-BAND-014,13,2
SBC-BAND-014,14,2
SBC-BAND-014,15,2
SBC-BAND-014,16,3
SBC-BAND-014,17,4
SBC-BAND-014,18,3
SBC-BAND-014,19,2
SBC-BAND-014,20,1
SBC-BAND-014,21,1
SBC-BAND-014,22,0
SBC-BAND-014,23,0
PUNE-DD-022,0,0
PUNE-DD-022,1,0
PUNE-DD-022,2,0
PUNE-DD-022,3,0
PUNE-DD-022,4,0
PUNE-DD-022,5,1
PUNE-DD-022,6,3
PUNE-DD-022,7,4
PUNE-DD-022,8,3
PUNE-DD-022,9,2
PUNE-DD-022,10,2
PUNE-DD-022,11,2
PUNE-DD-022,12,3
PUNE-DD-022,13,2
PUNE-DD-022,14,2
PUNE-DD-022,15,2
PUNE-DD-022,16,3
PUNE-DD-022,17,4
PUNE-DD-022,18,3
PUNE-DD-022,19,2
PUNE-DD-022,20,1
PUNE-DD-022,21,1
PUNE-DD-022,22,0
PUNE-DD-022,23,0
LKO-CNB-011,0,2
LKO-CNB-011,1,1
LKO-CNB-011,2,1
LKO-CNB-011,3,1
LKO-CNB-011,4,2
LKO-CNB-011,5,6
LKO-CNB-011,6,14
LKO-CNB-011,7,18
LKO-CNB-011,8,15
LKO-CNB-011,9,11
LKO-CNB-011,10,10
LKO-CNB-011,11,11
LKO-CNB-011,12,12
LKO-CNB-011,13,11
LKO-CNB-011,14,10
LKO-CNB-011,15,11
LKO-CNB-011,16,13
LKO-CNB-011,17,17
LKO-CNB-011,18,16
LKO-CNB-011,19,12
