date,track_section,hour,day_of_week,is_weekend,is_holiday,month,season,scheduled_train_count,actual_train_count
2026-05-03,SEC-001,0,6,1,0,5,Summer,3,3
2026-05-03,SEC-001,1,6,1,0,5,Summer,2,2
2026-05-03,SEC-001,2,6,1,0,5,Summer,1,1
2026-05-03,SEC-001,3,6,1,0,5,Summer,3,3
2026-05-03,SEC-001,4,6,1,0,5,Summer,2,2
2026-05-03,SEC-001,5,6,1,0,5,Summer,1,1
2026-05-03,SEC-001,6,6,1,0,5,Summer,1,1
2026-05-03,SEC-001,7,6,1,0,5,Summer,0,0
2026-05-03,SEC-001,8,6,1,0,5,Summer,0,0
2026-05-03,SEC-001,9,6,1,0,5,Summer,1,1
2026-05-03,SEC-001,10,6,1,0,5,Summer,0,0
2026-05-03,SEC-001,11,6,1,0,5,Summer,0,0
2026-05-03,SEC-001,12,6,1,0,5,Summer,0,0
2026-05-03,SEC-001,13,6,1,0,5,Summer,2,2
2026-05-03,SEC-001,14,6,1,0,5,Summer,0,0
2026-05-03,SEC-001,15,6,1,0,5,Summer,0,0
2026-05-03,SEC-001,16,6,1,0,5,Summer,0,0
2026-05-03,SEC-001,17,6,1,0,5,Summer,1,1
2026-05-03,SEC-001,18,6,1,0,5,Summer,0,0
2026-05-03,SEC-001,19,6,1,0,5,Summer,1,1
2026-05-03,SEC-001,20,6,1,0,5,Summer,1,1
2026-05-03,SEC-001,21,6,1,0,5,Summer,0,0
2026-05-03,SEC-001,22,6,1,0,5,Summer,4,4
2026-05-03,SEC-001,23,6,1,0,5,Summer,5,5
2026-05-03,SEC-002,0,6,1,0,5,Summer,1,1
2026-05-03,SEC-002,1,6,1,0,5,Summer,2,2
2026-05-03,SEC-002,2,6,1,0,5,Summer,3,3
2026-05-03,SEC-002,3,6,1,0,5,Summer,3,3
2026-05-03,SEC-002,4,6,1,0,5,Summer,1,1
2026-05-03,SEC-002,5,6,1,0,5,Summer,0,0
2026-05-03,SEC-002,6,6,1,0,5,Summer,0,0
2026-05-03,SEC-002,7,6,1,0,5,Summer,0,0
2026-05-03,SEC-002,8,6,1,0,5,Summer,2,2
2026-05-03,SEC-002,9,6,1,0,5,Summer,0,0
2026-05-03,SEC-002,10,6,1,0,5,Summer,0,0
2026-05-03,SEC-002,11,6,1,0,5,Summer,0,0
2026-05-03,SEC-002,12,6,1,0,5,Summer,0,0
2026-05-03,SEC-002,13,6,1,0,5,Summer,0,0
2026-05-03,SEC-002,14,6,1,0,5,Summer,0,0
2026-05-03,SEC-002,15,6,1,0,5,Summer,1,1
2026-05-03,SEC-002,16,6,1,0,5,Summer,0,0
2026-05-03,SEC-002,17,6,1,0,5,Summer,0,0
2026-05-03,SEC-002,18,6,1,0,5,Summer,1,1
2026-05-03,SEC-002,19,6,1,0,5,Summer,0,0
2026-05-03,SEC-002,20,6,1,0,5,Summer,0,0
2026-05-03,SEC-002,21,6,1,0,5,Summer,2,2
2026-05-03,SEC-002,22,6,1,0,5,Summer,1,1
2026-05-03,SEC-002,23,6,1,0,5,Summer,3,3
2026-05-03,SEC-003,0,6,1,0,5,Summer,2,2
2026-05-03,SEC-003,1,6,1,0,5,Summer,1,1
2026-05-03,SEC-003,2,6,1,0,5,Summer,5,5
2026-05-03,SEC-003,3,6,1,0,5,Summer,0,0
2026-05-03,SEC-003,4,6,1,0,5,Summer,0,0
2026-05-03,SEC-003,5,6,1,0,5,Summer,1,1
2026-05-03,SEC-003,6,6,1,0,5,Summer,1,1
2026-05-03,SEC-003,7,6,1,0,5,Summer,0,0
2026-05-03,SEC-003,8,6,1,0,5,Summer,0,0
2026-05-03,SEC-003,9,6,1,0,5,Summer,1,1
2026-05-03,SEC-003,10,6,1,0,5,Summer,1,1
2026-05-03,SEC-003,11,6,1,0,5,Summer,0,0
2026-05-03,SEC-003,12,6,1,0,5,Summer,0,0
2026-05-03,SEC-003,13,6,1,0,5,Summer,1,1
2026-05-03,SEC-003,14,6,1,0,5,Summer,0,0
2026-05-03,SEC-003,15,6,1,0,5,Summer,0,0
2026-05-03,SEC-003,16,6,1,0,5,Summer,0,0
2026-05-03,SEC-003,17,6,1,0,5,Summer,0,0
2026-05-03,SEC-003,18,6,1,0,5,Summer,2,2
2026-05-03,SEC-003,19,6,1,0,5,Summer,1,1
2026-05-03,SEC-003,20,6,1,0,5,Summer,0,0
2026-05-03,SEC-003,21,6,1,0,5,Summer,0,0
2026-05-03,SEC-003,22,6,1,0,5,Summer,2,2
2026-05-03,SEC-003,23,6,1,0,5,Summer,0,0
2026-05-03,SEC-004,0,6,1,0,5,Summer,2,2
2026-05-03,SEC-004,1,6,1,0,5,Summer,2,2
2026-05-03,SEC-004,2,6,1,0,5,Summer,2,2
2026-05-03,SEC-004,3,6,1,0,5,Summer,2,2
2026-05-03,SEC-004,4,6,1,0,5,Summer,3,3
2026-05-03,SEC-004,5,6,1,0,5,Summer,0,0
2026-05-03,SEC-004,6,6,1,0,5,Summer,3,3
2026-05-03,SEC-004,7,6,1,0,5,Summer,0,0
2026-05-03,SEC-004,8,6,1,0,5,Summer,1,1
2026-05-03,SEC-004,9,6,1,0,5,Summer,0,0
2026-05-03,SEC-004,10,6,1,0,5,Summer,2,2
2026-05-03,SEC-004,11,6,1,0,5,Summer,0,0
2026-05-03,SEC-004,12,6,1,0,5,Summer,1,1
2026-05-03,SEC-004,13,6,1,0,5,Summer,0,0
2026-05-03,SEC-004,14,6,1,0,5,Summer,0,0
2026-05-03,SEC-004,15,6,1,0,5,Summer,1,1
2026-05-03,SEC-004,16,6,1,0,5,Summer,1,1
2026-05-03,SEC-004,17,6,1,0,5,Summer,1,1
2026-05-03,SEC-004,18,6,1,0,5,Summer,0,0
2026-05-03,SEC-004,19,6,1,0,5,Summer,0,0
2026-05-03,SEC-004,20,6,1,0,5,Summer,1,1
2026-05-03,SEC-004,21,6,1,0,5,Summer,0,0
2026-05-03,SEC-004,22,6,1,0,5,Summer,0,0
2026-05-03,SEC-004,23,6,1,0,5,Summer,1,1
2026-05-03,SEC-005,0,6,1,0,5,Summer,3,3
2026-05-03,SEC-005,1,6,1,0,5,Summer,1,1
2026-05-03,SEC-005,2,6,1,0,5,Summer,4,4
2026-05-03,SEC-005,3,6,1,0,5,Summer,1,1
2026-05-03,SEC-005,4,6,1,0,5,Summer,4,4
2026-05-03,SEC-005,5,6,1,0,5,Summer,2,2
2026-05-03,SEC-005,6,6,1,0,5,Summer,0,0
2026-05-03,SEC-005,7,6,1,0,5,Summer,0,0
2026-05-03,SEC-005,8,6,1,0,5,Summer,0,0
2026-05-03,SEC-005,9,6,1,0,5,Summer,2,2
2026-05-03,SEC-005,10,6,1,0,5,Summer,2,2
2026-05-03,SEC-005,11,6,1,0,5,Summer,0,0
2026-05-03,SEC-005,12,6,1,0,5,Summer,0,0
2026-05-03,SEC-005,13,6,1,0,5,Summer,0,0
2026-05-03,SEC-005,14,6,1,0,5,Summer,0,0
2026-05-03,SEC-005,15,6,1,0,5,Summer,0,0
2026-05-03,SEC-005,16,6,1,0,5,Summer,2,2
2026-05-03,SEC-005,17,6,1,0,5,Summer,0,0
2026-05-03,SEC-005,18,6,1,0,5,Summer,0,0
2026-05-03,SEC-005,19,6,1,0,5,Summer,2,2
2026-05-03,SEC-005,20,6,1,0,5,Summer,1,1
2026-05-03,SEC-005,21,6,1,0,5,Summer,0,0
2026-05-03,SEC-005,22,6,1,0,5,Summer,2,2
2026-05-03,SEC-005,23,6,1,0,5,Summer,1,1
2026-05-03,SEC-006,0,6,1,0,5,Summer,2,2
2026-05-03,SEC-006,1,6,1,0,5,Summer,1,1
2026-05-03,SEC-006,2,6,1,0,5,Summer,1,1
