asset_id,asset_type_id,section_id,location_km,installation_date,status,last_inspected_date
AST-002,AT-001,SEC-006,26.166,2016-06-20,OPERATIONAL,2026-07-20
AST-003,AT-004,SEC-001,0.238,2020-02-18,OPERATIONAL,2026-07-18
AST-004,AT-001,SEC-005,21.29,2015-04-19,OPERATIONAL,2026-05-23
AST-007,AT-002,SEC-003,9.175,2018-04-28,OPERATIONAL,2026-07-14
AST-008,AT-003,SEC-005,21.881,2022-02-05,OPERATIONAL,2026-06-27
AST-010,AT-003,SEC-006,25.067,2018-07-12,OPERATIONAL,2026-07-12
AST-012,AT-001,SEC-002,6.932,2018-04-28,OPERATIONAL,2026-06-05
AST-013,AT-003,SEC-002,2.961,2020-03-26,OPERATIONAL,2026-06-26
AST-018,AT-002,SEC-005,27.387,2019-01-21,OPERATIONAL,2026-07-02
AST-019,AT-004,SEC-004,18.174,2015-05-17,OPERATIONAL,2026-05-11
AST-022,AT-002,SEC-005,23.942,2014-02-09,OPERATIONAL,2026-07-16
AST-023,AT-001,SEC-002,5.02,2013-09-13,OPERATIONAL,2026-07-30
AST-027,AT-003,SEC-001,2.348,2020-10-23,OPERATIONAL,2026-06-16
AST-032,AT-003,SEC-003,10.754,2019-11-19,OPERATIONAL,2026-05-09
AST-037,AT-003,SEC-004,19.444,2015-04-19,OPERATIONAL,2026-05-13
AST-038,AT-004,SEC-001,1.983,2021-11-12,OPERATIONAL,2026-06-14
AST-039,AT-002,SEC-005,21.482,2021-10-15,OPERATIONAL,2026-06-10
AST-044,AT-004,SEC-003,12.871,2017-05-07,OPERATIONAL,2026-07-01
AST-046,AT-004,SEC-006,22.554,2021-05-11,OPERATIONAL,2026-06-04
AST-047,AT-002,SEC-005,23.538,2017-11-07,OPERATIONAL,2026-06-22
AST-048,AT-004,SEC-002,6.996,2021-09-27,OPERATIONAL,2026-05-06
AST-054,AT-003,SEC-002,7.75,2016-02-02,OPERATIONAL,2026-07-29
AST-057,AT-002,SEC-001,4.76,2015-01-05,OPERATIONAL,2026-06-29
AST-059,AT-001,SEC-005,20.238,2015-03-19,OPERATIONAL,2026-07-04
AST-065,AT-003,SEC-001,7.034,2018-06-10,OPERATIONAL,2026-06-11
AST-066,AT-004,SEC-005,25.832,2015-09-22,OPERATIONAL,2026-07-08
AST-069,AT-001,SEC-006,24.479,2019-07-13,OPERATIONAL,2026-05-03
AST-070,AT-002,SEC-006,22.586,2014-11-16,OPERATIONAL,2026-07-24
AST-072,AT-004,SEC-003,8.507,2018-11-04,OPERATIONAL,2026-05-22
AST-077,AT-001,SEC-003,10.416,2019-10-14,OPERATIONAL,2026-06-25
AST-081,AT-003,SEC-004,17.226,2014-05-05,OPERATIONAL,2026-05-04
AST-083,AT-001,SEC-004,10.558,2017-06-03,OPERATIONAL,2026-06-11
AST-084,AT-002,SEC-002,0.189,2020-06-01,OPERATIONAL,2026-06-09
AST-085,AT-003,SEC-001,7.735,2019-06-15,OPERATIONAL,2026-07-12
AST-086,AT-004,SEC-006,28.33,2016-07-27,OPERATIONAL,2026-07-06
AST-087,AT-001,SEC-001,7.016,2019-08-28,OPERATIONAL,2026-07-19
AST-088,AT-003,SEC-001,0.867,2017-09-17,OPERATIONAL,2026-06-27
AST-089,AT-003,SEC-004,14.971,2016-11-06,OPERATIONAL,2026-06-28
AST-090,AT-002,SEC-003,8.51,2017-09-10,OPERATIONAL,2026-05-28
AST-091,AT-002,SEC-003,12.96,2015-02-19,OPERATIONAL,2026-06-02
AST-094,AT-003,SEC-005,20.646,2017-11-13,OPERATIONAL,2026-06-21
