availability_id,section_id,day_of_week,start_time,end_time,block_type
AVL-00001,SEC-001,Sunday,01:00:00,04:00:00,INTEGRATED_BLOCK
AVL-00002,SEC-001,Wednesday,12:00:00,14:00:00,TRAFFIC_BLOCK
AVL-00003,SEC-001,Friday,02:00:00,04:00:00,POWER_BLOCK
AVL-00004,SEC-002,Sunday,01:00:00,04:00:00,INTEGRATED_BLOCK
AVL-00005,SEC-002,Wednesday,12:00:00,14:00:00,TRAFFIC_BLOCK
AVL-00006,SEC-002,Friday,02:00:00,04:00:00,POWER_BLOCK
AVL-00007,SEC-003,Sunday,01:00:00,04:00:00,INTEGRATED_BLOCK
AVL-00008,SEC-003,Wednesday,12:00:00,14:00:00,TRAFFIC_BLOCK
AVL-00009,SEC-003,Friday,02:00:00,04:00:00,POWER_BLOCK
AVL-00010,SEC-004,Sunday,01:00:00,04:00:00,INTEGRATED_BLOCK
AVL-00011,SEC-004,Wednesday,12:00:00,14:00:00,TRAFFIC_BLOCK
AVL-00012,SEC-004,Friday,02:00:00,04:00:00,POWER_BLOCK
AVL-00013,SEC-005,Sunday,01:00:00,04:00:00,INTEGRATED_BLOCK
AVL-00014,SEC-005,Wednesday,12:00:00,14:00:00,TRAFFIC_BLOCK
AVL-00015,SEC-005,Friday,02:00:00,04:00:00,POWER_BLOCK
AVL-00016,SEC-006,Sunday,01:00:00,04:00:00,INTEGRATED_BLOCK
AVL-00017,SEC-006,Wednesday,12:00:00,14:00:00,TRAFFIC_BLOCK
AVL-00018,SEC-006,Friday,02:00:00,04:00:00,POWER_BLOCK
