block_id,section_id,block_type,planned_start,planned_end,actual_start,actual_end,status,purpose,requesting_department,task_id
BLK-00001,SEC-006,SHADOW,2024-02-13T00:00:00,2024-02-13T02:00:00,2024-02-13T00:20:00,2024-02-13T02:20:00,COMPLETED,Follow-up maintenance work for task TASK-00002,ENGINEERING,TASK-00002
BLK-00002,SEC-006,SHADOW,2026-01-29T00:00:00,2026-01-29T02:00:00,2026-01-29T00:21:00,2026-01-29T02:21:00,COMPLETED,Follow-up maintenance work for task TASK-00004,ENGINEERING,TASK-00004
BLK-00003,SEC-006,TRAFFIC_BLOCK,2026-07-20T01:00:00,2026-07-20T05:00:00,2026-07-20T01:01:00,2026-07-20T05:31:00,COMPLETED,Maintenance work for task TASK-00005 on asset AST-002,ENGINEERING,TASK-00005
BLK-00004,SEC-002,POWER_BLOCK,2025-01-29T01:00:00,2025-01-29T05:00:00,2025-01-29T01:06:00,2025-01-29T04:52:00,COMPLETED,Maintenance work for task TASK-00007 on asset AST-006,TRD,TASK-00007
BLK-00005,SEC-005,SHADOW,2024-04-13T00:00:00,2024-04-13T02:00:00,2024-04-12T23:56:00,2024-04-13T02:16:00,COMPLETED,Maintenance work for task TASK-00008 on asset AST-008,ENGINEERING,TASK-00008
BLK-00006,SEC-001,SHADOW,2025-01-18T00:00:00,2025-01-18T01:30:00,2025-01-18T00:22:00,2025-01-18T01:52:00,COMPLETED,Follow-up maintenance work for task TASK-00011,S&T,TASK-00011
BLK-00007,SEC-001,TRAFFIC_BLOCK,2026-07-25T10:00:00,2026-07-25T13:00:00,2026-07-25T10:50:00,2026-07-25T14:07:00,COMPLETED,Maintenance work for task TASK-00012 on asset AST-009,S&T,TASK-00012
BLK-00008,SEC-006,TRAFFIC_BLOCK,2025-07-17T09:00:00,2025-07-17T13:00:00,2025-07-17T08:58:00,2025-07-17T12:37:00,COMPLETED,Maintenance work for task TASK-00013 on asset AST-010,ENGINEERING,TASK-00013
BLK-00009,SEC-002,TRAFFIC_BLOCK,2026-06-12T08:00:00,2026-06-12T12:00:00,2026-06-12T08:24:00,2026-06-12T12:24:00,COMPLETED,Follow-up maintenance work for task TASK-00016,ENGINEERING,TASK-00016
BLK-00010,SEC-005,TRAFFIC_BLOCK,2026-01-23T01:00:00,2026-01-23T04:00:00,2026-01-23T01:17:00,2026-01-23T04:34:00,COMPLETED,Maintenance work for task TASK-00018 on asset AST-014,S&T,TASK-00018
BLK-00011,SEC-005,TRAFFIC_BLOCK,2026-03-24T10:00:00,2026-03-24T13:00:00,2026-03-24T09:54:00,2026-03-24T12:58:00,COMPLETED,Maintenance work for task TASK-00020 on asset AST-014,S&T,TASK-00020
BLK-00012,SEC-004,TRAFFIC_BLOCK,2024-04-24T12:00:00,2024-04-24T15:00:00,2024-04-24T12:29:00,2024-04-24T15:24:00,COMPLETED,Maintenance work for task TASK-00021 on asset AST-015,S&T,TASK-00021
BLK-00013,SEC-005,TRAFFIC_BLOCK,2024-01-14T11:00:00,2024-01-14T15:00:00,2024-01-14T11:58:00,2024-01-14T15:46:00,COMPLETED,Maintenance work for task TASK-00022 on asset AST-018,ENGINEERING,TASK-00022
