defect_id,asset_id,detected_date,inspection_id,defect_type,severity_level,safety_effect,operational_effect,status,resolved_date
DEF-00001,AST-002,2024-02-01T00:00:00,INS-00040,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-02-13T02:20:00
DEF-00002,AST-002,2026-01-21T00:00:00,INS-00048,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-01-29T02:21:00
DEF-00003,AST-002,2026-07-20T00:00:00,INS-00050,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-07-20T05:31:00
DEF-00006,AST-008,2024-04-08T00:00:00,INS-00146,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-04-13T02:16:00
DEF-00007,AST-008,2026-06-27T00:00:00,INS-00155,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-06-27T08:00:00
DEF-00010,AST-010,2025-07-17T00:00:00,INS-00200,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-07-17T12:37:00
DEF-00011,AST-012,2025-03-12T00:00:00,INS-00248,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-03-29T01:58:00
DEF-00012,AST-012,2026-06-05T00:00:00,INS-00253,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-06-12T12:24:00
DEF-00013,AST-013,2026-03-28T00:00:00,INS-00264,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2026-04-16T02:03:00
DEF-00018,AST-018,2024-01-14T00:00:00,INS-00394,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-01-14T15:46:00
DEF-00021,AST-023,2025-11-02T00:00:00,INS-00512,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-11-08T02:33:00
DEF-00034,AST-032,2025-08-12T00:00:00,INS-00757,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-09-05T01:25:00
DEF-00037,AST-037,2025-11-14T00:00:00,INS-00861,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-11-17T01:58:00
DEF-00038,AST-038,2024-03-26T00:00:00,INS-00866,REPETITIVE: Track Parameter Deviation,MINOR,No restriction,,CLOSED,2024-04-22T01:19:00
DEF-00039,AST-038,2025-03-21T00:00:00,INS-00870,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-03-21T14:51:00
DEF-00047,AST-047,2024-01-04T00:00:00,INS-01058,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-01-04T10:00:00
DEF-00048,AST-047,2024-09-30T00:00:00,INS-01061,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-09-30T14:29:00
DEF-00049,AST-047,2025-09-25T00:00:00,INS-01065,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-09-28T02:53:00
DEF-00057,AST-057,2026-06-29T00:00:00,INS-01308,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-07-02T02:04:00
DEF-00058,AST-059,2026-07-04T00:00:00,INS-01339,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-07-10T03:00:00
DEF-00068,AST-066,2024-04-19T00:00:00,INS-01500,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-04-19T08:32:00
DEF-00069,AST-070,2025-04-30T00:00:00,INS-01566,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-05-02T02:13:00
DEF-00070,AST-070,2026-07-24T00:00:00,INS-01571,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-07-24T09:15:00
DEF-00076,AST-077,2024-04-06T00:00:00,INS-01730,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-04-11T02:54:00
DEF-00077,AST-077,2025-12-27T00:00:00,INS-01737,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-01-08T02:22:00
DEF-00078,AST-077,2026-03-27T00:00:00,INS-01738,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-04-09T02:03:00
DEF-00080,AST-081,2024-08-12T00:00:00,INS-01819,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2024-08-30T01:32:00
DEF-00081,AST-084,2024-12-16T00:00:00,INS-01862,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-12-20T09:26:00
DEF-00082,AST-084,2025-03-16T00:00:00,INS-01863,REPETITIVE: Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-03-27T01:58:00
DEF-00083,AST-087,2023-11-02T00:00:00,INS-01894,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2023-11-04T02:07:00
