forecast_id,section_id,forecast_date,forecast_hour,estimated_goods_trains_count,confidence_score,generated_at
FC-000001,SEC-001,2026-05-03,0,3,0.73,2026-05-02T12:00:00
FC-000002,SEC-001,2026-05-03,1,2,0.83,2026-05-02T12:00:00
FC-000003,SEC-001,2026-05-03,2,1,0.88,2026-05-02T12:00:00
FC-000004,SEC-001,2026-05-03,3,3,0.81,2026-05-02T12:00:00
FC-000005,SEC-001,2026-05-03,4,2,0.91,2026-05-02T12:00:00
FC-000006,SEC-001,2026-05-03,5,1,0.8,2026-05-02T12:00:00
FC-000007,SEC-001,2026-05-03,6,1,0.85,2026-05-02T12:00:00
FC-000008,SEC-001,2026-05-03,7,0,0.84,2026-05-02T12:00:00
FC-000009,SEC-001,2026-05-03,8,0,0.72,2026-05-02T12:00:00
FC-000010,SEC-001,2026-05-03,9,1,0.83,2026-05-02T12:00:00
FC-000011,SEC-001,2026-05-03,10,0,0.72,2026-05-02T12:00:00
FC-000012,SEC-001,2026-05-03,11,0,0.83,2026-05-02T12:00:00
FC-000013,SEC-001,2026-05-03,12,0,0.75,2026-05-02T12:00:00
FC-000014,SEC-001,2026-05-03,13,2,0.93,2026-05-02T12:00:00
FC-000015,SEC-001,2026-05-03,14,0,0.93,2026-05-02T12:00:00
FC-000016,SEC-001,2026-05-03,15,0,0.76,2026-05-02T12:00:00
FC-000017,SEC-001,2026-05-03,16,0,0.76,2026-05-02T12:00:00
FC-000018,SEC-001,2026-05-03,17,1,0.93,2026-05-02T12:00:00
FC-000019,SEC-001,2026-05-03,18,0,0.87,2026-05-02T12:00:00
FC-000020,SEC-001,2026-05-03,19,1,0.88,2026-05-02T12:00:00
FC-000021,SEC-001,2026-05-03,20,1,0.87,2026-05-02T12:00:00
FC-000022,SEC-001,2026-05-03,21,0,0.74,2026-05-02T12:00:00
FC-000023,SEC-001,2026-05-03,22,4,0.89,2026-05-02T12:00:00
FC-000024,SEC-001,2026-05-03,23,5,0.79,2026-05-02T12:00:00
FC-000025,SEC-002,2026-05-03,0,1,0.79,2026-05-02T12:00:00
FC-000026,SEC-002,2026-05-03,1,2,0.78,2026-05-02T12:00:00
FC-000027,SEC-002,2026-05-03,2,3,0.81,2026-05-02T12:00:00
FC-000028,SEC-002,2026-05-03,3,3,0.74,2026-05-02T12:00:00
FC-000029,SEC-002,2026-05-03,4,1,0.71,2026-05-02T12:00:00
FC-000030,SEC-002,2026-05-03,5,0,0.71,2026-05-02T12:00:00
FC-000031,SEC-002,2026-05-03,6,0,0.77,2026-05-02T12:00:00
FC-000032,SEC-002,2026-05-03,7,0,0.83,2026-05-02T12:00:00
FC-000033,SEC-002,2026-05-03,8,2,0.85,2026-05-02T12:00:00
FC-000034,SEC-002,2026-05-03,9,0,0.87,2026-05-02T12:00:00
FC-000035,SEC-002,2026-05-03,10,0,0.85,2026-05-02T12:00:00
FC-000036,SEC-002,2026-05-03,11,0,0.82,2026-05-02T12:00:00
FC-000037,SEC-002,2026-05-03,12,0,0.77,2026-05-02T12:00:00
FC-000038,SEC-002,2026-05-03,13,0,0.76,2026-05-02T12:00:00
FC-000039,SEC-002,2026-05-03,14,0,0.93,2026-05-02T12:00:00
FC-000040,SEC-002,2026-05-03,15,1,0.86,2026-05-02T12:00:00
FC-000041,SEC-002,2026-05-03,16,0,0.85,2026-05-02T12:00:00
FC-000042,SEC-002,2026-05-03,17,0,0.92,2026-05-02T12:00:00
FC-000043,SEC-002,2026-05-03,18,1,0.75,2026-05-02T12:00:00
FC-000044,SEC-002,2026-05-03,19,0,0.75,2026-05-02T12:00:00
FC-000045,SEC-002,2026-05-03,20,0,0.76,2026-05-02T12:00:00
FC-000046,SEC-002,2026-05-03,21,2,0.91,2026-05-02T12:00:00
FC-000047,SEC-002,2026-05-03,22,1,0.79,2026-05-02T12:00:00
FC-000048,SEC-002,2026-05-03,23,3,0.71,2026-05-02T12:00:00
FC-000049,SEC-003,2026-05-03,0,2,0.75,2026-05-02T12:00:00
FC-000050,SEC-003,2026-05-03,1,1,0.94,2026-05-02T12:00:00
FC-000051,SEC-003,2026-05-03,2,5,0.91,2026-05-02T12:00:00
FC-000052,SEC-003,2026-05-03,3,0,0.91,2026-05-02T12:00:00
FC-000053,SEC-003,2026-05-03,4,0,0.74,2026-05-02T12:00:00
FC-000054,SEC-003,2026-05-03,5,1,0.71,2026-05-02T12:00:00
FC-000055,SEC-003,2026-05-03,6,1,0.93,2026-05-02T12:00:00
FC-000056,SEC-003,2026-05-03,7,0,0.95,2026-05-02T12:00:00
FC-000057,SEC-003,2026-05-03,8,0,0.71,2026-05-02T12:00:00
FC-000058,SEC-003,2026-05-03,9,1,0.86,2026-05-02T12:00:00
FC-000059,SEC-003,2026-05-03,10,1,0.91,2026-05-02T12:00:00
FC-000060,SEC-003,2026-05-03,11,0,0.9,2026-05-02T12:00:00
FC-000061,SEC-003,2026-05-03,12,0,0.76,2026-05-02T12:00:00
FC-000062,SEC-003,2026-05-03,13,1,0.86,2026-05-02T12:00:00
FC-000063,SEC-003,2026-05-03,14,0,0.81,2026-05-02T12:00:00
FC-000064,SEC-003,2026-05-03,15,0,0.76,2026-05-02T12:00:00
FC-000065,SEC-003,2026-05-03,16,0,0.81,2026-05-02T12:00:00
FC-000066,SEC-003,2026-05-03,17,0,0.87,2026-05-02T12:00:00
FC-000067,SEC-003,2026-05-03,18,2,0.82,2026-05-02T12:00:00
FC-000068,SEC-003,2026-05-03,19,1,0.79,2026-05-02T12:00:00
FC-000069,SEC-003,2026-05-03,20,0,0.83,2026-05-02T12:00:00
FC-000070,SEC-003,2026-05-03,21,0,0.85,2026-05-02T12:00:00
FC-000071,SEC-003,2026-05-03,22,2,0.81,2026-05-02T12:00:00
FC-000072,SEC-003,2026-05-03,23,0,0.82,2026-05-02T12:00:00
FC-000073,SEC-004,2026-05-03,0,2,0.72,2026-05-02T12:00:00
FC-000074,SEC-004,2026-05-03,1,2,0.88,2026-05-02T12:00:00
FC-000075,SEC-004,2026-05-03,2,2,0.88,2026-05-02T12:00:00
FC-000076,SEC-004,2026-05-03,3,2,0.82,2026-05-02T12:00:00
FC-000077,SEC-004,2026-05-03,4,3,0.76,2026-05-02T12:00:00
FC-000078,SEC-004,2026-05-03,5,0,0.76,2026-05-02T12:00:00
FC-000079,SEC-004,2026-05-03,6,3,0.95,2026-05-02T12:00:00
FC-000080,SEC-004,2026-05-03,7,0,0.83,2026-05-02T12:00:00
FC-000081,SEC-004,2026-05-03,8,1,0.82,2026-05-02T12:00:00
FC-000082,SEC-004,2026-05-03,9,0,0.94,2026-05-02T12:00:00
FC-000083,SEC-004,2026-05-03,10,2,0.94,2026-05-02T12:00:00
FC-000084,SEC-004,2026-05-03,11,0,0.75,2026-05-02T12:00:00
FC-000085,SEC-004,2026-05-03,12,1,0.83,2026-05-02T12:00:00
FC-000086,SEC-004,2026-05-03,13,0,0.93,2026-05-02T12:00:00
FC-000087,SEC-004,2026-05-03,14,0,0.89,2026-05-02T12:00:00
FC-000088,SEC-004,2026-05-03,15,1,0.93,2026-05-02T12:00:00
FC-000089,SEC-004,2026-05-03,16,1,0.77,2026-05-02T12:00:00
FC-000090,SEC-004,2026-05-03,17,1,0.87,2026-05-02T12:00:00
FC-000091,SEC-004,2026-05-03,18,0,0.78,2026-05-02T12:00:00
FC-000092,SEC-004,2026-05-03,19,0,0.85,2026-05-02T12:00:00
FC-000093,SEC-004,2026-05-03,20,1,0.77,2026-05-02T12:00:00
FC-000094,SEC-004,2026-05-03,21,0,0.91,2026-05-02T12:00:00
FC-000095,SEC-004,2026-05-03,22,0,0.79,2026-05-02T12:00:00
FC-000096,SEC-004,2026-05-03,23,1,0.73,2026-05-02T12:00:00
FC-000097,SEC-005,2026-05-03,0,3,0.85,2026-05-02T12:00:00
FC-000098,SEC-005,2026-05-03,1,1,0.82,2026-05-02T12:00:00
FC-000099,SEC-005,2026-05-03,2,4,0.88,2026-05-02T12:00:00
FC-000100,SEC-005,2026-05-03,3,1,0.83,2026-05-02T12:00:00
FC-000101,SEC-005,2026-05-03,4,4,0.74,2026-05-02T12:00:00
FC-000102,SEC-005,2026-05-03,5,2,0.87,2026-05-02T12:00:00
FC-000103,SEC-005,2026-05-03,6,0,0.71,2026-05-02T12:00:00
FC-000104,SEC-005,2026-05-03,7,0,0.85,2026-05-02T12:00:00
FC-000105,SEC-005,2026-05-03,8,0,0.8,2026-05-02T12:00:00
FC-000106,SEC-005,2026-05-03,9,2,0.77,2026-05-02T12:00:00
FC-000107,SEC-005,2026-05-03,10,2,0.71,2026-05-02T12:00:00
FC-000108,SEC-005,2026-05-03,11,0,0.84,2026-05-02T12:00:00
FC-000109,SEC-005,2026-05-03,12,0,0.85,2026-05-02T12:00:00
FC-000110,SEC-005,2026-05-03,13,0,0.74,2026-05-02T12:00:00
FC-000111,SEC-005,2026-05-03,14,0,0.77,2026-05-02T12:00:00
FC-000112,SEC-005,2026-05-03,15,0,0.73,2026-05-02T12:00:00
FC-000113,SEC-005,2026-05-03,16,2,0.81,2026-05-02T12:00:00
FC-000114,SEC-005,2026-05-03,17,0,0.81,2026-05-02T12:00:00
FC-000115,SEC-005,2026-05-03,18,0,0.92,2026-05-02T12:00:00
FC-000116,SEC-005,2026-05-03,19,2,0.88,2026-05-02T12:00:00
FC-000117,SEC-005,2026-05-03,20,1,0.92,2026-05-02T12:00:00
FC-000118,SEC-005,2026-05-03,21,0,0.81,2026-05-02T12:00:00
FC-000119,SEC-005,2026-05-03,22,2,0.71,2026-05-02T12:00:00
FC-000120,SEC-005,2026-05-03,23,1,0.82,2026-05-02T12:00:00
FC-000121,SEC-006,2026-05-03,0,2,0.88,2026-05-02T12:00:00
FC-000122,SEC-006,2026-05-03,1,1,0.91,2026-05-02T12:00:00
FC-000123,SEC-006,2026-05-03,2,1,0.71,2026-05-02T12:00:00
FC-000124,SEC-006,2026-05-03,3,1,0.73,2026-05-02T12:00:00
FC-000125,SEC-006,2026-05-03,4,2,0.78,2026-05-02T12:00:00
FC-000126,SEC-006,2026-05-03,5,0,0.78,2026-05-02T12:00:00
FC-000127,SEC-006,2026-05-03,6,0,0.87,2026-05-02T12:00:00
FC-000128,SEC-006,2026-05-03,7,0,0.81,2026-05-02T12:00:00
FC-000129,SEC-006,2026-05-03,8,0,0.92,2026-05-02T12:00:00
FC-000130,SEC-006,2026-05-03,9,0,0.82,2026-05-02T12:00:00
FC-000131,SEC-006,2026-05-03,10,0,0.79,2026-05-02T12:00:00
FC-000132,SEC-006,2026-05-03,11,2,0.71,2026-05-02T12:00:00
FC-000133,SEC-006,2026-05-03,12,0,0.8,2026-05-02T12:00:00
FC-000134,SEC-006,2026-05-03,13,0,0.88,2026-05-02T12:00:00
FC-000135,SEC-006,2026-05-03,14,0,0.92,2026-05-02T12:00:00
FC-000136,SEC-006,2026-05-03,15,0,0.77,2026-05-02T12:00:00
FC-000137,SEC-006,2026-05-03,16,1,0.85,2026-05-02T12:00:00
FC-000138,SEC-006,2026-05-03,17,1,0.85,2026-05-02T12:00:00
FC-000139,SEC-006,2026-05-03,18,1,0.83,2026-05-02T12:00:00
FC-000140,SEC-006,2026-05-03,19,0,0.95,2026-05-02T12:00:00
FC-000141,SEC-006,2026-05-03,20,0,0.9,2026-05-02T12:00:00
FC-000142,SEC-006,2026-05-03,21,0,0.82,2026-05-02T12:00:00
FC-000143,SEC-006,2026-05-03,22,1,0.73,2026-05-02T12:00:00
FC-000144,SEC-006,2026-05-03,23,4,0.8,2026-05-02T12:00:00
FC-000145,SEC-001,2026-05-04,0,3,0.86,2026-05-03T12:00:00
