history_id,task_id,actual_start,actual_end,work_done,completion_status,actual_duration_minutes,team_lead
HIST-00002,TASK-00002,2024-02-13T00:20:00,2024-02-13T02:20:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,120,T-101 (Engineering Gang)
HIST-00001,TASK-00001,2024-02-05T00:00:00,2024-02-05T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-202
HIST-00004,TASK-00004,2026-01-29T00:21:00,2026-01-29T02:21:00,Rectified deferred defect: Track Parameter Deviation.,COMPLETED,120,T-201 (Signal Staff)
HIST-00003,TASK-00003,2026-01-24T00:00:00,2026-01-24T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-302
HIST-00005,TASK-00005,2026-07-20T01:01:00,2026-07-20T05:31:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,270,T-202
HIST-00008,TASK-00008,2024-04-12T23:56:00,2024-04-13T02:16:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,140,T-101 (Engineering Gang)
HIST-00012,TASK-00013,2025-07-17T08:58:00,2025-07-17T12:37:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,219,T-201 (Signal Staff)
HIST-00013,TASK-00014,2025-03-29T00:56:00,2025-03-29T01:58:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,62,T-202
HIST-00015,TASK-00016,2026-06-12T08:24:00,2026-06-12T12:24:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,240,T-202
HIST-00014,TASK-00015,2026-06-05T08:00:00,2026-06-05T08:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-302
HIST-00016,TASK-00017,2026-04-16T00:58:00,2026-04-16T02:03:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,65,T-101 (Engineering Gang)
HIST-00021,TASK-00022,2024-01-14T11:58:00,2024-01-14T15:46:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,228,T-201 (Signal Staff)
HIST-00024,TASK-00025,2025-11-08T00:29:00,2025-11-08T02:33:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,124,T-302
HIST-00035,TASK-00039,2025-09-05T00:27:00,2025-09-05T01:25:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,58,T-202
HIST-00038,TASK-00042,2025-11-17T00:03:00,2025-11-17T01:58:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,115,T-302
HIST-00040,TASK-00044,2024-04-22T00:19:00,2024-04-22T01:19:00,Rectified deferred defect: REPETITIVE: Track Parameter Deviation.,COMPLETED,60,T-102
HIST-00039,TASK-00043,2024-04-20T00:00:00,2024-04-20T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-202
HIST-00041,TASK-00045,2025-03-21T11:11:00,2025-03-21T14:51:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,220,T-201 (Signal Staff)
HIST-00049,TASK-00053,2024-01-04T05:23:00,2024-01-04T10:00:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,277,T-202
HIST-00050,TASK-00054,2024-09-30T10:47:00,2024-09-30T14:29:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,222,T-202
HIST-00051,TASK-00055,2025-09-28T00:32:00,2025-09-28T02:53:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,141,T-301 (OHE Gang)
HIST-00060,TASK-00064,2026-07-01T23:49:00,2026-07-02T02:04:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,135,T-301 (OHE Gang)
HIST-00061,TASK-00065,2026-07-10T00:41:00,2026-07-10T03:00:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,139,T-102
HIST-00070,TASK-00076,2024-04-19T03:56:00,2024-04-19T08:32:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,276,T-202
