task_id,asset_id,defect_id,department_id,section_id,task_type,planned_start,planned_end,due_date,required_block_type,estimated_duration_minutes,status
TASK-00002,AST-002,DEF-00001,DEP-001,SEC-006,CORRECTIVE,2024-02-13T00:00:00,2024-02-13T02:00:00,2024-02-20T00:00:00,SHADOW,120,COMPLETED
TASK-00001,AST-002,DEF-00001,DEP-001,SEC-006,CORRECTIVE,2024-02-05T00:00:00,2024-02-05T02:00:00,2024-02-11T00:00:00,SHADOW,120,DEFERRED
TASK-00004,AST-002,DEF-00002,DEP-001,SEC-006,CORRECTIVE,2026-01-29T00:00:00,2026-01-29T02:00:00,2026-02-05T00:00:00,SHADOW,120,COMPLETED
TASK-00003,AST-002,DEF-00002,DEP-001,SEC-006,CORRECTIVE,2026-01-24T00:00:00,2026-01-24T02:00:00,2026-01-31T00:00:00,SHADOW,120,DEFERRED
TASK-00005,AST-002,DEF-00003,DEP-001,SEC-006,EMERGENCY,2026-07-20T01:00:00,2026-07-20T05:00:00,2026-07-21T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00008,AST-008,DEF-00006,DEP-001,SEC-005,CORRECTIVE,2024-04-13T00:00:00,2024-04-13T02:00:00,2024-04-18T00:00:00,SHADOW,120,COMPLETED
TASK-00009,AST-008,DEF-00007,DEP-001,SEC-005,EMERGENCY,2026-06-27T08:00:00,2026-06-27T12:00:00,2026-06-28T00:00:00,TRAFFIC_BLOCK,240,CANCELLED
TASK-00013,AST-010,DEF-00010,DEP-001,SEC-006,EMERGENCY,2025-07-17T09:00:00,2025-07-17T13:00:00,2025-07-18T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00014,AST-012,DEF-00011,DEP-001,SEC-002,CORRECTIVE,2025-03-29T00:00:00,2025-03-29T01:00:00,2025-04-11T00:00:00,NONE,60,COMPLETED
TASK-00016,AST-012,DEF-00012,DEP-001,SEC-002,EMERGENCY,2026-06-12T08:00:00,2026-06-12T12:00:00,2026-06-19T08:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00015,AST-012,DEF-00012,DEP-001,SEC-002,EMERGENCY,2026-06-05T08:00:00,2026-06-05T12:00:00,2026-06-06T00:00:00,TRAFFIC_BLOCK,240,DEFERRED
TASK-00017,AST-013,DEF-00013,DEP-001,SEC-002,CORRECTIVE,2026-04-16T00:00:00,2026-04-16T01:00:00,2026-04-27T00:00:00,NONE,60,COMPLETED
TASK-00022,AST-018,DEF-00018,DEP-001,SEC-005,EMERGENCY,2024-01-14T11:00:00,2024-01-14T15:00:00,2024-01-15T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00025,AST-023,DEF-00021,DEP-001,SEC-002,CORRECTIVE,2025-11-08T00:00:00,2025-11-08T02:00:00,2025-11-12T00:00:00,SHADOW,120,COMPLETED
TASK-00039,AST-032,DEF-00034,DEP-001,SEC-003,CORRECTIVE,2025-09-05T00:00:00,2025-09-05T01:00:00,2025-09-11T00:00:00,NONE,60,COMPLETED
TASK-00042,AST-037,DEF-00037,DEP-001,SEC-004,CORRECTIVE,2025-11-17T00:00:00,2025-11-17T02:00:00,2025-11-24T00:00:00,SHADOW,120,COMPLETED
TASK-00044,AST-038,DEF-00038,DEP-001,SEC-001,CORRECTIVE,2024-04-22T00:00:00,2024-04-22T01:00:00,2024-04-29T00:00:00,NONE,60,COMPLETED
TASK-00043,AST-038,DEF-00038,DEP-001,SEC-001,CORRECTIVE,2024-04-20T00:00:00,2024-04-20T01:00:00,2024-04-25T00:00:00,NONE,60,DEFERRED
TASK-00045,AST-038,DEF-00039,DEP-001,SEC-001,EMERGENCY,2025-03-21T11:00:00,2025-03-21T15:00:00,2025-03-22T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
