schedule_id,train_id,station_id,arrival_time,departure_time,day_of_run,stop_type
SCH-00001,TRN-001,STA-001,,06:00:00,Daily,HALT
SCH-00002,TRN-001,STA-002,06:10:00,06:12:00,Daily,HALT
SCH-00003,TRN-001,STA-003,06:20:00,06:20:00,Daily,PASSING
SCH-00004,TRN-001,STA-004,06:28:00,06:28:00,Daily,PASSING
SCH-00005,TRN-001,STA-005,06:36:00,06:38:00,Daily,HALT
SCH-00006,TRN-001,STA-006,06:46:00,,Daily,HALT
SCH-00007,TRN-002,STA-006,,07:00:00,Daily,HALT
SCH-00008,TRN-002,STA-005,07:10:00,07:12:00,Daily,HALT
SCH-00009,TRN-002,STA-004,07:20:00,07:20:00,Daily,PASSING
SCH-00010,TRN-002,STA-003,07:28:00,07:28:00,Daily,PASSING
SCH-00011,TRN-002,STA-002,07:36:00,07:38:00,Daily,HALT
SCH-00012,TRN-002,STA-001,07:46:00,,Daily,HALT
SCH-00013,TRN-003,STA-001,,10:00:00,Daily,HALT
SCH-00014,TRN-003,STA-002,10:10:00,10:12:00,Daily,HALT
SCH-00015,TRN-003,STA-003,10:20:00,10:22:00,Daily,HALT
SCH-00016,TRN-003,STA-004,10:30:00,10:32:00,Daily,HALT
SCH-00017,TRN-003,STA-005,10:40:00,10:42:00,Daily,HALT
SCH-00018,TRN-003,STA-006,10:50:00,,Daily,HALT
SCH-00019,TRN-004,STA-006,,11:00:00,Daily,HALT
SCH-00020,TRN-004,STA-005,11:10:00,11:12:00,Daily,HALT
SCH-00021,TRN-004,STA-004,11:20:00,11:22:00,Daily,HALT
SCH-00022,TRN-004,STA-003,11:30:00,11:32:00,Daily,HALT
SCH-00023,TRN-004,STA-002,11:40:00,11:42:00,Daily,HALT
SCH-00024,TRN-004,STA-001,11:50:00,,Daily,HALT
SCH-00025,TRN-005,STA-001,,14:00:00,Daily,HALT
SCH-00026,TRN-005,STA-002,14:10:00,14:12:00,Daily,HALT
SCH-00027,TRN-005,STA-003,14:20:00,14:22:00,Daily,HALT
SCH-00028,TRN-005,STA-004,14:30:00,14:32:00,Daily,HALT
SCH-00029,TRN-005,STA-005,14:40:00,14:42:00,Daily,HALT
SCH-00030,TRN-005,STA-006,14:50:00,,Daily,HALT
SCH-00031,TRN-006,STA-006,,15:00:00,Daily,HALT
SCH-00032,TRN-006,STA-005,15:10:00,15:12:00,Daily,HALT
SCH-00033,TRN-006,STA-004,15:20:00,15:22:00,Daily,HALT
SCH-00034,TRN-006,STA-003,15:30:00,15:32:00,Daily,HALT
SCH-00035,TRN-006,STA-002,15:40:00,15:42:00,Daily,HALT
SCH-00036,TRN-006,STA-001,15:50:00,,Daily,HALT
SCH-00037,TRN-007,STA-001,,18:00:00,Daily,HALT
SCH-00038,TRN-007,STA-002,18:10:00,18:12:00,Daily,HALT
SCH-00039,TRN-007,STA-003,18:20:00,18:20:00,Daily,PASSING
SCH-00040,TRN-007,STA-004,18:28:00,18:28:00,Daily,PASSING
SCH-00041,TRN-007,STA-005,18:36:00,18:38:00,Daily,HALT
SCH-00042,TRN-007,STA-006,18:46:00,,Daily,HALT
SCH-00043,TRN-008,STA-006,,19:00:00,Daily,HALT
SCH-00044,TRN-008,STA-005,19:10:00,19:12:00,Daily,HALT
SCH-00045,TRN-008,STA-004,19:20:00,19:20:00,Daily,PASSING
SCH-00046,TRN-008,STA-003,19:28:00,19:28:00,Daily,PASSING
SCH-00047,TRN-008,STA-002,19:36:00,19:38:00,Daily,HALT
SCH-00048,TRN-008,STA-001,19:46:00,,Daily,HALT
SCH-00049,TRN-009,STA-001,,22:00:00,Daily,HALT
SCH-00050,TRN-009,STA-002,22:10:00,22:12:00,Daily,HALT
SCH-00051,TRN-009,STA-003,22:20:00,22:22:00,Daily,HALT
SCH-00052,TRN-009,STA-004,22:30:00,22:32:00,Daily,HALT
SCH-00053,TRN-009,STA-005,22:40:00,22:42:00,Daily,HALT
SCH-00054,TRN-009,STA-006,22:50:00,,Daily,HALT
SCH-00055,TRN-010,STA-006,,23:00:00,Daily,HALT
SCH-00056,TRN-010,STA-005,23:10:00,23:12:00,Daily,HALT
SCH-00057,TRN-010,STA-004,23:20:00,23:22:00,Daily,HALT
SCH-00058,TRN-010,STA-003,23:30:00,23:32:00,Daily,HALT
SCH-00059,TRN-010,STA-002,23:40:00,23:42:00,Daily,HALT
SCH-00060,TRN-010,STA-001,23:50:00,,Daily,HALT
SCH-00061,TRN-011,STA-001,,02:00:00,Daily,HALT
SCH-00062,TRN-011,STA-002,02:10:00,02:12:00,Daily,HALT
SCH-00063,TRN-011,STA-003,02:20:00,02:20:00,Daily,PASSING
SCH-00064,TRN-011,STA-004,02:28:00,02:28:00,Daily,PASSING
SCH-00065,TRN-011,STA-005,02:36:00,02:38:00,Daily,HALT
SCH-00066,TRN-011,STA-006,02:46:00,,Daily,HALT
SCH-00067,TRN-012,STA-006,,03:00:00,Daily,HALT
SCH-00068,TRN-012,STA-005,03:10:00,03:12:00,Daily,HALT
SCH-00069,TRN-012,STA-004,03:20:00,03:20:00,Daily,PASSING
SCH-00070,TRN-012,STA-003,03:28:00,03:28:00,Daily,PASSING
SCH-00071,TRN-012,STA-002,03:36:00,03:38:00,Daily,HALT
SCH-00072,TRN-012,STA-001,03:46:00,,Daily,HALT
SCH-00073,TRN-013,STA-001,,06:00:00,Daily,HALT
SCH-00074,TRN-013,STA-002,06:10:00,06:12:00,Daily,HALT
SCH-00075,TRN-013,STA-003,06:20:00,06:20:00,Daily,PASSING
SCH-00076,TRN-013,STA-004,06:28:00,06:28:00,Daily,PASSING
SCH-00077,TRN-013,STA-005,06:36:00,06:38:00,Daily,HALT
SCH-00078,TRN-013,STA-006,06:46:00,,Daily,HALT
SCH-00079,TRN-014,STA-006,,07:00:00,Daily,HALT
SCH-00080,TRN-014,STA-005,07:10:00,07:12:00,Daily,HALT
SCH-00081,TRN-014,STA-004,07:20:00,07:20:00,Daily,PASSING
SCH-00082,TRN-014,STA-003,07:28:00,07:28:00,Daily,PASSING
SCH-00083,TRN-014,STA-002,07:36:00,07:38:00,Daily,HALT
SCH-00084,TRN-014,STA-001,07:46:00,,Daily,HALT
SCH-00085,TRN-015,STA-001,,10:00:00,Daily,HALT
SCH-00086,TRN-015,STA-002,10:10:00,10:12:00,Daily,HALT
SCH-00087,TRN-015,STA-003,10:20:00,10:20:00,Daily,PASSING
SCH-00088,TRN-015,STA-004,10:28:00,10:28:00,Daily,PASSING
SCH-00089,TRN-015,STA-005,10:36:00,10:38:00,Daily,HALT
SCH-00090,TRN-015,STA-006,10:46:00,,Daily,HALT
SCH-00091,TRN-016,STA-006,,11:00:00,Daily,HALT
SCH-00092,TRN-016,STA-005,11:10:00,11:12:00,Daily,HALT
SCH-00093,TRN-016,STA-004,11:20:00,11:20:00,Daily,PASSING
SCH-00094,TRN-016,STA-003,11:28:00,11:28:00,Daily,PASSING
SCH-00095,TRN-016,STA-002,11:36:00,11:38:00,Daily,HALT
SCH-00096,TRN-016,STA-001,11:46:00,,Daily,HALT
SCH-00097,TRN-017,STA-001,,14:00:00,Daily,HALT
SCH-00098,TRN-017,STA-002,14:10:00,14:12:00,Daily,HALT
SCH-00099,TRN-017,STA-003,14:20:00,14:20:00,Daily,PASSING
SCH-00100,TRN-017,STA-004,14:28:00,14:28:00,Daily,PASSING
SCH-00101,TRN-017,STA-005,14:36:00,14:38:00,Daily,HALT
SCH-00102,TRN-017,STA-006,14:46:00,,Daily,HALT
SCH-00103,TRN-018,STA-006,,15:00:00,Daily,HALT
SCH-00104,TRN-018,STA-005,15:10:00,15:12:00,Daily,HALT
SCH-00105,TRN-018,STA-004,15:20:00,15:20:00,Daily,PASSING
SCH-00106,TRN-018,STA-003,15:28:00,15:28:00,Daily,PASSING
SCH-00107,TRN-018,STA-002,15:36:00,15:38:00,Daily,HALT
SCH-00108,TRN-018,STA-001,15:46:00,,Daily,HALT
SCH-00109,TRN-019,STA-001,,18:00:00,Daily,HALT
SCH-00110,TRN-019,STA-002,18:10:00,18:12:00,Daily,HALT
SCH-00111,TRN-019,STA-003,18:20:00,18:20:00,Daily,PASSING
SCH-00112,TRN-019,STA-004,18:28:00,18:28:00,Daily,PASSING
SCH-00113,TRN-019,STA-005,18:36:00,18:38:00,Daily,HALT
SCH-00114,TRN-019,STA-006,18:46:00,,Daily,HALT
SCH-00115,TRN-020,STA-006,,19:00:00,Daily,HALT
SCH-00116,TRN-020,STA-005,19:10:00,19:12:00,Daily,HALT
SCH-00117,TRN-020,STA-004,19:20:00,19:20:00,Daily,PASSING
SCH-00118,TRN-020,STA-003,19:28:00,19:28:00,Daily,PASSING
SCH-00119,TRN-020,STA-002,19:36:00,19:38:00,Daily,HALT
