train_id,train_number,name,type,max_speed_kmh
TRN-001,12056,NDLS-GZB Shatabdi Express,EXPRESS,130
TRN-002,12055,GZB-NDLS Shatabdi Express,EXPRESS,130
TRN-003,64402,Delhi-Ghaziabad Local MEMU,MEMU,100
TRN-004,64403,Ghaziabad-Delhi Local MEMU,MEMU,100
TRN-005,54002,DLI-GZB Passenger,PASSENGER,80
TRN-006,54003,GZB-DLI Passenger,PASSENGER,80
TRN-007,12012,Kalka Shatabdi Connecting,EXPRESS,130
TRN-008,12011,Kalka Shatabdi Return Link,EXPRESS,130
TRN-009,74001,DLI-SBB DEMU,DEMU,90
TRN-010,74002,SBB-DLI DEMU,DEMU,90
TRN-011,G-001,Coal Rake UP,GOODS,75
TRN-012,G-002,Coal Rake DOWN,GOODS,75
TRN-013,G-003,Container Rake UP,GOODS,75
TRN-014,G-004,Container Rake DOWN,GOODS,75
TRN-015,G-005,Iron Ore Rake UP,GOODS,70
TRN-016,G-006,Iron Ore Rake DOWN,GOODS,70
TRN-017,G-007,Automobile Rake UP,GOODS,75
TRN-018,G-008,Automobile Rake DOWN,GOODS,75
TRN-019,G-009,Petroleum Tanker UP,GOODS,70
TRN-020,G-010,Petroleum Tanker DOWN,GOODS,70
