table_type,table_name,column_name,data_type,is_nullable,description
master,master_corridors,corridor_id,VARCHAR,NO,Primary key for corridor (e.g. COR-001)
master,master_corridors,name,VARCHAR,NO,Name of the corridor
master,master_corridors,code,VARCHAR,NO,Short code of the corridor
master,master_corridors,length_km,DECIMAL,NO,Total length of the corridor in kilometers
master,master_sections,section_id,VARCHAR,NO,Primary key for section (e.g. SEC-001)
master,master_sections,corridor_id,VARCHAR,NO,Foreign key pointing to corridors
master,master_sections,name,VARCHAR,NO,Name of the section
master,master_sections,start_km,DECIMAL,NO,Starting kilometer post
master,master_sections,end_km,DECIMAL,NO,Ending kilometer post
master,master_sections,line_type,VARCHAR,NO,Line type direction (UP / DOWN / THIRD / FOURTH)
master,master_stations,station_id,VARCHAR,NO,Primary key for station (e.g. STA-001)
master,master_stations,corridor_id,VARCHAR,NO,Foreign key pointing to corridors
master,master_stations,name,VARCHAR,NO,Name of the station
master,master_stations,code,VARCHAR,NO,Station code (e.g. DLI, GZB)
master,master_stations,km_post,DECIMAL,NO,Kilometer post location of station
master,master_departments,department_id,VARCHAR,NO,Primary key for department (e.g. DEP-001)
master,master_departments,name,VARCHAR,NO,Canonical name of department (ENGINEERING / S&T / TRD)
master,master_asset_types,asset_type_id,VARCHAR,NO,Primary key for asset type (e.g. AT-001)
master,master_asset_types,department_id,VARCHAR,NO,Foreign key pointing to departments
master,master_asset_types,name,VARCHAR,NO,Name of asset type (e.g. rail, signal, OHE)
master,master_asset_types,description,VARCHAR,YES,Detailed description of the asset type
source,tms_track_assets,tms_asset_id,VARCHAR,NO,Primary key for TMS track asset (AST-###)
source,tms_track_assets,asset_type_id,VARCHAR,NO,Foreign key pointing to asset types
source,tms_track_assets,section_id,VARCHAR,NO,Foreign key pointing to sections
source,tms_track_assets,track_km,DECIMAL,NO,Location kilometer post
source,tms_track_assets,installation_date,DATE,NO,Date of asset installation (YYYY-MM-DD)
source,tms_track_assets,status,VARCHAR,NO,Current status of asset
source,tms_track_assets,last_inspected_date,DATE,YES,Last inspection date
source,tms_inspections,tms_inspection_id,VARCHAR,NO,Primary key for inspection (INS-###)
source,tms_inspections,tms_asset_id,VARCHAR,NO,Foreign key pointing to TMS assets
source,tms_inspections,inspected_by,VARCHAR,NO,Name of the inspector
source,tms_inspections,inspection_date,DATETIME,NO,Date and time of inspection (ISO 8601)
source,tms_inspections,status,VARCHAR,NO,Inspection completion status
source,tms_inspections,track_gauge_deviation_mm,INTEGER,YES,Gauge deviation in millimeters
source,tms_inspections,wear_index,DECIMAL,YES,Fractional wear index (0.0 to 1.0)
source,tms_inspections,notes,VARCHAR,YES,Remarks from inspector
source,tms_defects,tms_defect_id,VARCHAR,NO,Primary key for defect (DEF-###)
source,tms_defects,tms_asset_id,VARCHAR,NO,Foreign key pointing to TMS assets
source,tms_defects,detected_date,DATETIME,NO,Detection datetime (ISO 8601)
source,tms_defects,inspection_id,VARCHAR,YES,Foreign key pointing to TMS inspections (null if ad-hoc)
source,tms_defects,defect_type,VARCHAR,NO,Type of track defect
source,tms_defects,severity_level,VARCHAR,NO,Severity category (MINOR / MAJOR / CRITICAL)
source,tms_defects,safety_effect,VARCHAR,NO,Safety restriction imposed
source,tms_defects,operational_effect,VARCHAR,NO,Impact on operations
source,tms_defects,status,VARCHAR,NO,Current defect status (OPEN / UNDER_MAINTENANCE / RESOLVED / CLOSED)
source,tms_defects,resolved_date,DATETIME,YES,Datetime when resolved
source,tms_maintenance,tms_task_id,VARCHAR,NO,Primary key for maintenance task (TASK-###)
source,tms_maintenance,tms_asset_id,VARCHAR,NO,Foreign key pointing to TMS assets
source,tms_maintenance,tms_defect_id,VARCHAR,YES,Foreign key pointing to TMS defects (null if preventive)
source,tms_maintenance,task_type,VARCHAR,NO,Type of task (PREVENTIVE / CORRECTIVE / EMERGENCY)
source,tms_maintenance,planned_start,DATETIME,NO,Planned start time
source,tms_maintenance,planned_end,DATETIME,NO,Planned end time
source,tms_maintenance,due_date,DATETIME,NO,Task due date
source,tms_maintenance,required_block_type,VARCHAR,NO,Required block type (e.g. TRAFFIC_BLOCK, SHADOW)
source,tms_maintenance,estimated_duration_minutes,INTEGER,NO,Estimated duration in minutes
source,tms_maintenance,status,VARCHAR,NO,Task status (PLANNED / COMPLETED / DEFERRED / CANCELLED)
source,tms_maintenance_history,tms_history_id,VARCHAR,NO,Primary key for execution record (HIST-###)
source,tms_maintenance_history,tms_task_id,VARCHAR,NO,Foreign key pointing to TMS maintenance tasks
source,tms_maintenance_history,actual_start,DATETIME,NO,Actual start datetime
source,tms_maintenance_history,actual_end,DATETIME,NO,Actual end datetime
source,tms_maintenance_history,work_done,VARCHAR,YES,Summary of maintenance work performed
source,tms_maintenance_history,completion_status,VARCHAR,NO,Final completion status (COMPLETED / DEFERRED)
source,tms_maintenance_history,team_lead,VARCHAR,YES,Name of maintenance team lead
source,smms_signal_assets,smms_asset_id,VARCHAR,NO,Primary key for SMMS asset (AST-###)
source,smms_signal_assets,asset_type_id,VARCHAR,NO,Foreign key pointing to asset types
source,smms_signal_assets,section_id,VARCHAR,NO,Foreign key pointing to sections
source,smms_signal_assets,location_km,DECIMAL,NO,Location kilometer post
source,smms_signal_assets,installation_date,DATE,NO,Date of asset installation (YYYY-MM-DD)
source,smms_signal_assets,status,VARCHAR,NO,Current status of asset
source,smms_inspections,smms_inspection_id,VARCHAR,NO,Primary key for inspection (INS-###)
source,smms_inspections,smms_asset_id,VARCHAR,NO,Foreign key pointing to SMMS assets
source,smms_inspections,inspected_by,VARCHAR,NO,Name of the inspector
source,smms_inspections,inspection_date,DATETIME,NO,Date and time of inspection (ISO 8601)
source,smms_inspections,voltage_level_v,DECIMAL,YES,Operating voltage level in Volts
source,smms_inspections,signal_visibility_m,INTEGER,YES,Signal visibility distance in meters
source,smms_inspections,status,VARCHAR,NO,Inspection completion status
source,smms_inspections,notes,VARCHAR,YES,Remarks from inspector
